USI Project Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Boiler Plate - USI data,,,,,,,,,,,Location Data,,Team Data,,,,,Approvals Overview,,,,,,,,Approvals Details,,,,,,
Job Number,In Toronto? ,Name,client,Client Type,Centroid Coordinates,Longitude,Latitude,address,Project Type,Project Focus,Municipality/Jurisdiction,Ward (Toronto),USI Team Members,Principal in Charge,Project Manager,Project Start Date,Project End Date,Complete/Approval Year,Approval type(s),Approval Status,Residential Units,Affordable Units (%),Affordable Units,Max. Non-Residential GFA,Min. Non-Residential GFA,Density,Height (m),Height (st),Site Area (m2),By-Law  Number,Most Recent Report,NOTES
18047,TRUE,West Don Lands Affordable Housing,"DREAM, Tricon Capitol Group, Kilmer Van Nostrand Co. Limited",Real Estate Developers,,#VALUE!,#VALUE!,Central Waterfront and King-Parliament Secondary Plan areas (125 Mill Street),Development Approvals,Residential/Mixed Use,Toronto ,10,Benjamin Hoff,,,,,2020,"OPA and ZBA approved via MZO, Site Plan under review ",Pending,,,,,,,,2 new buildings 45-storey and 32-storey,,,,find site specific infomation
20002,TRUE,East Harbour,Cadillac Fairview (CF),Real Estate Developers,,#VALUE!,#VALUE!,East Harbour area,"Master Planning, Approvals",Brownfield Remediation/Mixed Use,Toronto ,14,"Benjamin Hoff, Geoff Whittaker, Samuel Lozeau, Harshitha Damodaran",Benjamin Hoff,Kenny Lamizana,,,2022,Employment Area Conversion Approved via MZO,Complete,,,,,,,,,,,East Harbour - Cadillac Fairview,find specific address 
16046,TRUE,"505 Richmond Street West, Waterworks","MOD Developments Inc., Woodcliffe Landmark Properties",Real Estate Developers,"(-79.3994334, 43.6471064)",43.6471064,-79.3994334,"505 Richmond Street West, Toronto, Ontario",Development Approvals,Residential/Mixed Use,Toronto ,10,Melanie Hare,,,,,2017,ZBA and Site Plan ,Complete,288,0,0,8000,N/A,6.09,53.5,13,5174,"ZBA (848-2017, 849-2017), MM-ZBA (1459-2017, 1460-2017)","497, 505 and 511 Richmond Street West Zoning Amendment – Final Report",has member-motion-amended ZBA on top of previously approved ZBA and stuff
13049,TRUE,Bloor & Bathurst (Honest Ed's),Westbank ,Real Estate Developers,"(-79.4120596, 43.6646854)",43.6646854,-79.4120596,"581 Bloor Street West, Toronto, Ontario","Development Approvals, TOD",Commercial/Residential,Toronto ,10,"Frank Lewinberg, Benjamin Hoff, Josh Kohler",,,,,2017,OPA and ZBA,Complete,806,7.44,60,N/A,N/A,5.33,"85, 82, 77,  61, and 47","5 new buildings 26, 25, 24, 19 and 13 storeys",14172,"OPA (1104-2017), ZBA (1105-2017, 1106-2017)",Honest Ed’s and Mirvish Village,done?
10079,TRUE,Sterling Road Redevelopment ,"Castlepoint Greybrook Sterling Inc., Hines",Real Estate Developers,"(-79.4452017, 43.6546126)",43.6546126,-79.4452017,"158 Sterling Road, Toronto, Ontario",Development Approvals,Commercial/Residential,Toronto,9,Emily Reisman,,,,,2025,OPA and ZBA,Complete,737,1.09,8,1500,1250,8.57 and 6.06,99,31,4774,"OPA (469-2025), ZBA (470-2025)","158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) – Official Plan and Zoning By-law Amendment Applications – Decision Report – Approval",done?
14004,TRUE,Celestica Development Proposal,Celestica,"Private-sector, Industrial/Corporate","(-79.3407175, 43.7232253)",43.7232253,-79.3407175,"844 Don Mills Road, Toronto, Ontario","Master Planning, Development Approvals ",Commercial/Residential,Toronto ,16,,,,,,2018-2022,"OPA under review, ZBA approved",Pending,4921,N/A,N/A,N/A,N/A,2.31,147,48,244240,ZBA (1214-2019 (LPAT)),Celestica - Current Development Applications ,Project details unclear. Client has changed as Celestica sold development. 
15066,TRUE,Galleria Mall Redevelopment,"Freed Deveopments, Almadev. ",Real Estate Developers,"(-79.4410701, 43.6677361)",43.6677361,-79.4410701,"1245 Dupont Street, Toronto, Ontario","Master Planning, Development Approvals ",Commercial/Residential/Mixed Use,Toronto ,9,"Melanie Hare, Christine Fang-Denissov, Sirous Ghanbar Zadeh, Aya Almaddah, Sean Quin",Melanie Hare,Kenny Lamizana,,,2019 and ongoing ,"OPA and ZBA, Site Plan subject to NOAC (Notice of Approval Conditions Issued)",Pending,,,,,,,,31,,OLT-24-000440,"1245 and 1285 Dupont Street, 1260 Dufferin Street, and 213 Emerson Avenue – Ontario Land Tribunal Hearing – Request for Directions","nothing as of late, there are no apporved bylaws"
10042,TRUE,Yorkdale Shopping Centre,Oxford Properties,Real Estate Developers,"(-79.4529083, 43.7254565)",43.7254565,-79.4529083,"3401 Dufferin Street, Toronto, Ontario",Development Approvals,Commericial ,Toronto ,8,"Frank Lewinberg, Michel Trocme, Mary Castel, Aya Almaddah, Ning Lin, Desi Simova",Josh Neubauer,Desi Simova,,,2023,OPA/Secondary Plan,Request for Direction,,,,,,,,,,OLT-22-003315,3401 Dufferin Street and 1 Yorkdale Road – Official Plan Amendment and Dufferin Street Secondary Plan – Ontario Land Tribunal Hearing – Request for Directions,"went to OLT, but no bylaws came out of this"
9016,TRUE,CIBC Square,"Ivanhoe Cambridge, Metrolinx, Hines","Real Estate Developers, Crown Agency","(-79.3774342, 43.6450184)",43.6450184,-79.3774342,81-141 Bay Street,"Master Planning, Development Approvals ",Commericial ,Toronto,10,"Frank Lewinberg, Benjamin Hoff, Inger Squires",,,,,2016,ZBA,Complete,N/A,N/A,N/A,N/A,N/A,6,243,53,22520,1104-2016,141 Bay St – Zoning Amendment – Final Report,hopefully this is the correct approval document -- theres another one for 1 front street west and 141 bay (development on top of dominion building) that got a refusal
9034,TRUE,Alexandra Park Revitalization,"Toronto Community Housing Corporation, Tridel","Real Estate Developers, City Corporation","(-79.4001077, 43.6521783)",43.6521783,-79.4001077,"571 Dundas Street West, Toronto, Ontario","Master Planning, Development Approvals, Consultation and Engagement ",Residential,Toronto,10,"Christine Fang-Denissov, Cyndi Rottenberg-Walker, Michel Trocme, Dennis Lago, Harshitha Damodaran, Sean Quin",Christine Fang Denissov,Grant Mason?,,,2020,OPA and ZBA,Complete,,0,0,4100,N/A,3.04,48.5 and 46.5,15 and 14,59400,"OPA (839-2020, 840-2020), ZBA (841-2020, 842-2020)","Alexandra Park and Atkinson Housing Co-operative Revitalization - 571 Dundas Street West, 91 Augusta Avenue, and 73-75 Augusta Square - Official Plan Amendment, Zoning By-law Amendment, Rental Housing Demolition and Conversion – Phase 2 – Final Report","total number of residential units not mentioned, but they are replacing the 77 social housing units with at least 410 units -- not sure if that's the total amount"
18117,TRUE,Reina (689 The Queensway),Reina Developments Inc.,Real Estate Developers,"(-79.4999789, 43.6267155)",43.6267155,-79.4999789,"689 The Queensway, Toronto, Ontario","Approvals, Engagement",Commericial/Residential,Toronto ,3,Emily Reisman,,,,,2020,ZBA,Complete,198,0,0,N/A,500,4.25,30.95,9,4033,680-2021,689 The Queensway - Zoning By-law Amendment Application - Final Report,done !!
19012,TRUE,Allied 41 Fraser Development Approvals,Allied Real Estate Investment Trust,Real Estate Developers,"(-79.4235240, 43.6369546)",43.6369546,-79.4235240,"41 Fraser Avenue, Toronto, Ontario",Development Approvals,Office/Commercial,Toronto ,10,,,,,,2023,ZBA,Complete,,,,,,5.97,"50.33, 55.36","10, 11",7915,453-2023 (HEA),"39-53 Fraser Avenue, 8-42 Pardee Avenue and 135 Liberty Street - Zoning By-law Amendment Application – Decision Report - Approval","only has heritage easement agreement from 2023, nothing after"
19067,TRUE,Gerrard-Carlaw North TOC,Choice Properties Limited Partnership,Real Estate Developers,,#VALUE!,#VALUE!,???,"Master Planning, Development Approvals",,Toronto ,14,Inger Squires,Inger Squires,Inger Squires,,,2022,OPA and ZBA,???,,,,,,,,,,883-2024,Agenda Item History - 2023.PH8.5,"not too sure if this is the correct by-law, but i'm assuming it applies to the gerrard-carlaw area -- this ZBA has been approved so I'll include what I can from it"
20016,TRUE,CF Sherway Gardens Mall Intensification,Cadillac Fairview (CF),Real Estate Developers,"(-79.5571424, 43.6118216)",43.6118216,-79.5571424,"25 The West Mall, Etobicoke, Ontario","Master Planning, Approvals",Residential/Mixed Use,Toronto ,3,"Eric Turcotte, Leigh McGrath, Mihaly Szabo, Peter Pantalone",Leigh McGrath,Peter Pantalone,,,2019,OPA/Secondary Plan,Complete,,,,,,,,,,1535-2019,Sherway Area Secondary Plan - City-initiated Official Plan Amendment and 25 The West Mall (Sherway Gardens Mall) - Official Plan Amendment Application – Ontario Land Tribunal Hearings – Request for Directions,"OPA is the secondary plan for the sherway areafrom 2019, ZBA not approved yet -- OLT case number OLT-22-002175"
21036,TRUE,Scarborough Health Network Centenary Hospital,Kasian Architecture,Design Firm,"(-79.2051908, 43.7801304)",43.7801304,-79.2051908,"2863 Ellesmere Road, Scarborough, Ontario",Development Aprovals,Healthcare,Toronto ,21,"Eric Turcotte, Josh Kohler",Eric Turcotte,Josh Kohler,,,,,,,,,,,,,,,,,figure out what the specific development approvals are for!
21066,TRUE,50-64 Merton Street,50-64 Merton Limited,Private Developer,"(-79.3945757, 43.6967895)",43.6967895,-79.3945757,50 Merton Street,"Development Approvals, Planning Analysis, OLT Appeal",Mixed Use,Toronto ,12,"George Dark, Leigh McGrath, Peter Pantalone",Leigh McGrath,Peter Pantalone,,,2025,OPA and ZBA Interim Approval,Pending,603,,,,,13.41,157,45,2689,,OLT Appeal Decision,
21078,TRUE,2955 Bloor Street West Riocan,RioCan Real Estate Investment Trust,Real Estate Developers,"(-79.5073709, 43.6479739)",43.6479739,-79.5073709,"2939 Bloor Street West, Toronto, Ontario","Development Approvals, Planning Analysis",Mixed Use,Toronto ,3,"Leigh McGrath, Lena Sanz Tovar",,,,,2022/Pending,ZBA Interim  Approval,Pending,225,0,0,,,4.92,27,7,3176,,2939-2943 Bloor Street West - Zoning By-law Amendment Application - Request for Direction Report,"no news? request for directions was from 3 years ago, no OLT or anything"
23007,TRUE,Woodbine Northwest Residential Village/Woodbine Transit-Oriented Community Secondary Plan,Woodbine Entertainment Group,Entertainment Agency/Private Developer,,#VALUE!,#VALUE!,Woodbine area,"Development Approva, Master Planning, New Community Plan, Urban Design Guidelines",,Toronto ,1,"Christine Fang-Denissov, Michel Trocme, Josh Kohler, CK?",Leigh McGrath,Corals Zheng,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Woodbine TOC Secondary Plan - City Council Agenda Item,
23075,TRUE,Allied King Spadina Development Approvals & OLT Appeals,Allied Properties Management LP,Real Estate Developers,??,#VALUE!,#VALUE!,??,"Consultation and Engagement, Development Approval, OTL Appeal, Planning Analysis",,Toronto ,,"Benjamin Hoff, Josh Kohler, DG?",Benjamin Hoff,Josh Kohler,,,,,,,,,,,,,,,112-2020,King-Spadina Secondary Plan Update – Final Report,what are the addresses associated with this project? I can only find secondary plan amendments but not a specific address for this project
18000-5,TRUE,Downsview Taxiway West/Hangar District,Downsview Metro Devco Inc. (o/a Northcrest Developments),Real Estate Developers,"(-79.4727380, 43.7370430)",43.7370430,-79.4727380,"123 Garratt Boulevard, Toronto, Ontario",Master Planning ,Mixed Use,Toronto,6,"Emily Reisman, Lauren Haein An, JM?",Emily Reisman,Lauren Haein An,,,2025,ZBA,Complete,2957,,,N/A,13146,,,,,842-2025,backgroundfile-256438.pdf,10% of residential gfa as affordable housing -- how to calculate for data in terms of units?
