USI Project Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Boiler Plate - USI data,,,,,,,,,,,Location Data,,Team Data,,,,,Approvals Overview,,,,,,,,Approvals Details,,,,,,
Job Number,In Toronto? ,Name,client,Client Type,Centroid Coordinates,Longitude,Latitude,address,Project Type,Project Focus,Municipality/Jurisdiction,Ward (Toronto),USI Team Members,Principal in Charge,Project Manager,Project Start Date,Project End Date,Complete/Approval Year,Approval type(s),Approval Status,Residential Units,Affordable Units (%),Affordable Units,Max. Non-Residential GFA,Min. Non-Residential GFA,Density,Height (m),Height (st),Site Area (m2),By-Law  Number,Most Recent Report,NOTES
19001,TRUE,Union Park (315-325 Front St W) (two ZBA applications) ,Oxford Properties Group,Real Estate Developers,"(-79.3902670, 43.6432270)",43.6432270,-79.3902670,"325 Front Street West, Toronto, Ontario",Development Approvals,Residential/Mixed Use,Toronto,10,Cyndi Rottenberg-Walker,Josh Neubauer,Matthew Whittier,2019,Ongoing,2025,ZBA,Complete,1793,2.67,48,N/A,N/A,17.7,"168, 168, 235, 278","50 (r1), 50 (r2), 71 (r3), 60 (o)",16393,not updated yet -- has been approved,Revised - 315-325 Front Street West – Zoning By-law Amendment Application – Decision Report – Approval,consider making this a multipoint or multipolygon data point
14081,TRUE,2150 Lakeshore - Christie Cookies Site,"First Capital Realty, Pemberton, Lakeshore Development Inc",Real Estate Developers,"(-79.4799725, 43.6267741)",43.6267741,-79.4799725,"2150 Lakeshore Boulevard West, Toronto, Ontario","Master Planning, Development Approvals, Planning Analysis, Due Diligence Study",Mixed Use,Toronto,3,"Cyndi Rottenberg-Walker , Josh Kohler , Michel Trocme , Yiwen Zhu , Lauren Haein An , Aya Almaddah",Cyndi Rottenberg-Walker,Josh Kohler,2014,Ongoing,2021,Secondary Plan and ZBA,Complete ?,,,,,,,,15 new towers 28-70,,"only report, no bylaw ? ",Final Report - Christie's Planning Study – City-Initiated Secondary Plan & Zoning By-law and Urban Design and Streetscape Guidelines,"no concrete numbers for affordable housing, estimated to go up to 1500 affordable housing units"
??? (archived),TRUE,64 Prince Arthur Avenue,64 Prince Arthur Limited Partnership,Real Estate Developers,"(-79.3993584, 43.6692702)",43.6692702,-79.3993584,"64 Prince Arthur Avenue, Toronto, Ontario",,Mixed Use,Toronto,11,,,,,,2023,ZBA,Complete,94,0,0,36,,5.47,43,13,1211,1144-2023,64 Prince Arthur Avenue – Zoning By-law Amendment Application – Decision Report – Approval,"no site, radio silence since 2023, who worked on this project there have been additional applications since 2023??"
22005,TRUE, OGDC St Dennis,Osmington Gerofsky Development Corp,Real Estate Developers,"(-79.3362448, 43.7160963)",43.7160963,-79.3362448,"7 St Dennis Drive, Toronto, Ontario","Development Approvals, Planning Analysis",Residential,Toronto,16,Benjamin Hoff,Benjamin Hoff,Lauren Haein An,2022,2025,2024,OPA and ZBA,Complete,2536,0,0,N/A,N/A,7.87,"174 (a), 162 (b), 135 (c), 153 (d)","53, 49, 40, 46",38807,"ZBA (49-2025), OPA(50-2025)",7 St Dennis Drive & 10 Grenoble Drive – Official Plan Amendment and Zoning Amendment – Decision Report – Approval,done !!
22013,TRUE,OGDC 350 Bloor East ,Osmington Gerofsky Development Corp,Real Estate Developers,"(-79.3788514, 43.6722918)",43.6722918,-79.3788514,"350 Bloor Street East, Toronto, Ontario","Development Approvals, Planning Analysis",Mixed Use,Toronto ,11,,,,2021,2025,2024,OPA and ZBA,Complete,806,1.98,16,N/A,400,19.41,215,63,2530,"ZBA(599-2025), OPA(600-2025)",350 Bloor Street East – Official Plan and Zoning By-law Amendment Application – Decision Report – Approval,do we want owner or applicant ? or whos website it was obtained from since it says Rogers Communication Inc owns the lot i think
21060,TRUE,Weston Park,Castlepoint Weston Partnership,Real Estate Developers,"(-79.5151872, 43.7000640)",43.7000640,-79.5151872,"1871 Weston Road, Toronto, Ontario","Development Approvals, Consultation and Engagement",Mixed Use,Toronto ,5,"Benjamin Hoff, Josh Reiniger",Benjamin Hoff,Stuart Dow?,2021,2023,2023,OPA and ZBA,Complete,1032,0,0,5300,4800,15.01,"174 (a), 157 (b), and 14 (c)","50 (a), 46 (b), and 1 (c)",4447,"ZBA (1253-2023), OPA (1254-2023) ","1871, 1879, 1885 Weston Road and PIN 10324-0541 – Official Plan Amendment and Zoning By-law Amendment – Decision Report – Approval","some measurements are not quite up to par with the rest of the data, like the 2 storeys of mechanical stuff -- whats the exact height? "
21060,TRUE,Weston Park,Castlepoint Weston Partnership,Real Estate Developers,"(-79.5154838, 43.7001041)",43.7001041,-79.5154838,"1879 Weston Road, Toronto, Ontario","Development Approvals, Consultation and Engagement",Mixed Use,Toronto ,5,"Benjamin Hoff, Josh Reiniger",Benjamin Hoff,Stuart Dow?,2021,2023,2023,OPA and ZBA,Complete,1032,0,0,5300,4800,15.01,"174 (a), 157 (b), and 14 (c)","50 (a), 46 (b), and 1 (c)",4447,"ZBA (1253-2023), OPA (1254-2023) ","1871, 1879, 1885 Weston Road and PIN 10324-0541 – Official Plan Amendment and Zoning By-law Amendment – Decision Report – Approval","some measurements are not quite up to par with the rest of the data, like the 2 storeys of mechanical stuff -- whats the exact height? "
21060,TRUE,Weston Park,Castlepoint Weston Partnership,Real Estate Developers,"(-79.5156786, 43.7001090)",43.7001090,-79.5156786,"1885 Weston Road, Toronto, Ontario","Development Approvals, Consultation and Engagement",Mixed Use,Toronto ,5,"Benjamin Hoff, Josh Reiniger",Benjamin Hoff,Stuart Dow?,2021,2023,2023,OPA and ZBA,Complete,1032,0,0,5300,4800,15.01,"174 (a), 157 (b), and 14 (c)","50 (a), 46 (b), and 1 (c)",4447,"ZBA (1253-2023), OPA (1254-2023) ","1871, 1879, 1885 Weston Road and PIN 10324-0541 – Official Plan Amendment and Zoning By-law Amendment – Decision Report – Approval","some measurements are not quite up to par with the rest of the data, like the 2 storeys of mechanical stuff -- whats the exact height? "
18003,TRUE,Dream 49 Ontario,Dream Unlimited Corp and CentreCourt,Real Estate Developers,"(-79.3660876, 43.6531766)",43.6531766,-79.3660876,"49 Ontario Street, Toronto, Ontario",,Mixed Use,Toronto ,13,Benjamin Hoff,Benjamin Hoff,Benjamin Hoff,N/A ,,2023,ZBA,Complete,1094,0,0,17000,6350,11.6,"153, 140.5, 44.2","44, 39, 11",6953,1299-2023,Microsoft Word - 49 Ontario and 72-94 Berkeley - REVISED.docx,"find out who is working on this and specific measurments (density, height, site area"
20056,TRUE,Hullmark 450 Dufferin,Hullmark,Real Estate Developers,"(-79.4299833, 43.6452977)",43.6452977,-79.4299833,"450 Dufferin Street, Toronto, Ontario",Development Approvals,Mixed Use,Toronto ,9,"Josh Neubauer, Julian Del Bel Belluz",Josh Neubauer,Julian Del Bel Belluz,,,2025,OPA and ZBA,Complete,175,3.42,6,N/A,364,8.4,67,18,1495,"OPA (221-2025), ZBA (254-2025)",450 Dufferin Street – Official Plan and Zoning By-law Amendments – Decision Report – Approval,done !!
